TDS,pH,Hardness,Turbidity,Litres_Processed,Days_Used,Cleaning_Frequency,Water_Source,Temperature,Fouling_Risk_Score,Operational_Risk_Category,Estimated_Membrane_Life_Months,Purifier_Recommendation,Cleaning_Frequency_Encoded,Water_Source_Encoded,Risk_Category_Encoded
2147,5.5,884,3.8,3849,1152,Moderate,Borewell,38,2200.65,Low Risk,29.969499999999996,RO + UV Purifier,0,0,1
1075,6.5,201,6.6,8505,945,Moderate,Tank Water,32,2167.7,Low Risk,27.253499999999995,UF + UV Purifier,0,3,1
1906,9.4,54,10.3,3701,354,Regular,Borewell,27,1944.4499999999998,Low Risk,30.334499999999995,RO + UV Purifier,2,0,1
289,8.7,244,16.0,849,490,Rare,Municipal,20,1021.65,Low Risk,35.283500000000004,UV Purifier,1,1,1
662,9.3,332,14.9,9821,208,Rare,River,40,2549.55,Medium Risk,21.0145,UF + UV Purifier,1,2,2
1999,7.5,513,13.1,1083,873,Moderate,Tank Water,37,1916.8,Low Risk,30.4665,RO + UV Purifier,0,3,1
1367,5.9,162,3.5,3877,603,Regular,Borewell,37,1477.9499999999998,Low Risk,35.335499999999996,RO + UV Purifier,2,0,1
1628,7.7,320,11.2,6528,148,Regular,River,29,2385.2,Low Risk,25.323999999999998,RO + UV Purifier,2,2,1
746,7.3,212,2.2,8194,578,Regular,Tank Water,18,1785.5,Low Risk,31.303,UF + UV Purifier,2,3,1
2168,8.9,509,7.9,6696,675,Regular,River,18,2633.45,Medium Risk,24.676,RO + UV Purifier,2,2,2
2314,5.9,154,8.6,7583,55,Regular,River,27,2707.75,Medium Risk,23.907500000000006,RO + UV Purifier,2,2,2
1397,7.5,742,1.3,3901,1061,Regular,Municipal,35,1669.5500000000002,Low Risk,34.20949999999999,RO + UV Purifier,2,1,1
700,6.1,605,5.8,3685,998,Moderate,River,32,1407.0,Low Risk,34.4725,UF + UV Purifier,0,2,1
2463,6.8,331,19.1,5785,562,Rare,Tank Water,19,3012.2,Medium Risk,19.149499999999996,RO + UV Purifier,1,3,2
2161,8.4,736,19.1,9854,178,Rare,River,34,3653.7999999999997,High Risk,12.331999999999992,RO + UV Purifier,1,2,0
341,7.4,211,7.4,7272,1078,Moderate,Tank Water,25,1652.25,Low Risk,30.784999999999997,UF + UV Purifier,0,3,1
2141,7.0,400,1.3,8990,684,Rare,River,39,2651.0,Medium Risk,25.711999999999996,RO + UV Purifier,1,2,2
1463,7.1,483,4.0,3847,974,Regular,Borewell,39,1685.8999999999999,Low Risk,33.5085,RO + UV Purifier,2,0,1
2239,7.3,901,8.1,1288,584,Regular,Municipal,43,2042.15,Low Risk,30.887000000000004,RO + UV Purifier,2,1,1
1490,8.6,189,19.0,5445,454,Rare,Borewell,43,2406.8,Low Risk,23.206500000000002,RO + UV Purifier,1,0,1
1578,9.1,520,3.3,3389,322,Regular,Municipal,26,1663.35,Low Risk,34.1225,RO + UV Purifier,2,1,1
875,9.3,181,15.4,5773,1238,Regular,Tank Water,38,2000.9,Low Risk,26.7515,UF + UV Purifier,2,3,1
134,8.6,136,2.6,3772,583,Rare,Municipal,37,798.0,Low Risk,39.836,UV Purifier,1,1,1
2353,6.8,737,19.6,9569,460,Moderate,River,28,3727.5,High Risk,11.879500000000004,RO + UV Purifier,0,2,0
2055,8.3,232,7.9,5734,633,Rare,River,23,2308.0,Low Risk,27.566000000000003,RO + UV Purifier,1,2,1
1685,7.3,417,15.6,7402,346,Rare,Borewell,41,2764.45,Medium Risk,20.814,RO + UV Purifier,1,0,2
1121,6.5,178,7.2,8112,427,Rare,Municipal,31,2145.4,Low Risk,27.436999999999998,UF + UV Purifier,1,1,1
1229,8.9,295,12.7,2992,1377,Rare,Tank Water,18,1704.05,Low Risk,31.025000000000006,RO + UV Purifier,1,3,1
1600,5.7,650,4.2,7245,625,Moderate,Tank Water,24,2347.25,Low Risk,27.2125,RO + UV Purifier,0,3,1
802,9.1,627,3.3,4740,575,Moderate,River,41,1526.15,Low Risk,33.996,UF + UV Purifier,0,2,1
1679,7.3,719,18.8,2822,105,Regular,Tank Water,26,2338.35,Low Risk,24.574,RO + UV Purifier,2,3,1
261,8.0,948,18.4,5798,894,Regular,River,28,2162.7999999999997,Low Risk,23.687999999999995,UV Purifier,2,2,1
301,8.1,427,17.8,2361,945,Rare,River,41,1408.8000000000002,Low Risk,31.167500000000004,UF + UV Purifier,1,2,1
2081,9.1,198,12.7,7120,738,Regular,River,40,2705.6,Medium Risk,22.665,RO + UV Purifier,2,2,2
1095,8.0,901,16.3,4547,515,Moderate,Borewell,33,2287.0,Low Risk,24.510500000000004,UF + UV Purifier,0,0,1
2417,8.0,482,1.8,8081,1141,Regular,Borewell,36,2709.55,Medium Risk,25.619500000000006,RO + UV Purifier,2,0,2
915,5.8,677,7.0,7820,776,Regular,River,19,2215.15,Low Risk,26.617,UF + UV Purifier,2,2,1
555,7.6,775,6.6,1598,1285,Regular,River,32,1129.95,Low Risk,36.878,UF + UV Purifier,2,2,1
1375,6.1,518,12.9,5747,1060,Rare,River,20,2298.6499999999996,Low Risk,25.442499999999995,RO + UV Purifier,1,2,1
1116,8.4,495,7.4,2234,579,Regular,Tank Water,21,1411.85,Low Risk,34.88100000000001,UF + UV Purifier,2,3,1
2443,7.5,530,3.4,5163,1005,Moderate,River,37,2370.45,Low Risk,28.7665,RO + UV Purifier,0,2,1
437,8.2,933,12.1,6409,1105,Moderate,River,39,2083.7,Low Risk,26.0835,UF + UV Purifier,0,2,1
978,5.7,343,16.4,3916,971,Moderate,Municipal,24,1886.75,Low Risk,27.980000000000004,UF + UV Purifier,0,1,1
1176,5.8,814,8.0,6802,948,Moderate,Municipal,29,2294.6,Low Risk,26.213000000000005,UF + UV Purifier,0,1,1
891,8.4,192,3.1,8093,1449,Regular,Municipal,21,1869.85,Low Risk,30.5595,UF + UV Purifier,2,1,1
2364,5.8,299,4.3,1180,1274,Rare,Municipal,27,1665.55,Low Risk,35.362,RO + UV Purifier,1,1,1
863,5.8,927,5.1,8663,1481,Moderate,River,23,2352.1000000000004,Low Risk,25.6485,UF + UV Purifier,0,2,1
2335,5.5,997,6.3,2570,1196,Moderate,Municipal,42,2253.65,Low Risk,29.371999999999996,RO + UV Purifier,0,1,1
479,9.3,351,13.0,7168,392,Rare,Tank Water,39,1992.65,Low Risk,26.607,UF + UV Purifier,1,3,1
592,8.5,74,12.2,8501,411,Rare,Tank Water,31,2092.45,Low Risk,25.856499999999997,UF + UV Purifier,1,3,1
1280,6.9,838,14.1,2691,1330,Moderate,Municipal,20,1984.75,Low Risk,28.3115,RO + UV Purifier,0,1,1
2162,6.7,938,7.6,9359,300,Moderate,Borewell,34,3210.95,High Risk,19.1635,RO + UV Purifier,0,0,0
164,6.9,939,16.6,8086,1067,Rare,Tank Water,28,2381.45,Low Risk,21.663000000000004,UV Purifier,1,3,1
1467,8.6,950,4.5,9372,327,Moderate,Tank Water,27,2746.8,Medium Risk,23.041000000000004,RO + UV Purifier,0,3,2
1252,8.1,119,9.6,9664,1033,Moderate,Municipal,43,2513.1499999999996,Medium Risk,23.512,RO + UV Purifier,0,1,2
2127,6.2,674,16.1,3346,263,Regular,Municipal,38,2512.7,Medium Risk,24.244,RO + UV Purifier,2,1,2
1595,6.2,924,4.0,2963,604,Rare,River,27,1817.75,Low Risk,32.67450000000001,RO + UV Purifier,1,2,1
1262,5.9,161,2.6,7337,56,Regular,Tank Water,27,1908.0,Low Risk,31.0045,RO + UV Purifier,2,3,1
1622,8.1,413,17.7,5422,122,Regular,Municipal,20,2518.1499999999996,Medium Risk,22.729,RO + UV Purifier,2,1,2
491,8.6,352,7.2,4892,646,Rare,Municipal,41,1425.6999999999998,Low Risk,33.461,UF + UV Purifier,1,1,1
1798,6.6,520,13.8,3683,338,Regular,River,43,2237.45,Low Risk,26.721500000000002,RO + UV Purifier,2,2,1
518,5.6,140,1.0,3667,81,Moderate,Tank Water,32,912.05,Low Risk,39.78549999999999,UF + UV Purifier,0,3,1
2436,5.8,579,14.0,3497,348,Regular,Municipal,34,2563.1,Medium Risk,24.7305,RO + UV Purifier,2,1,2
478,9.4,710,6.7,7021,210,Rare,River,44,1879.6499999999999,Low Risk,29.174500000000002,UF + UV Purifier,1,2,1
1896,6.7,788,1.6,3727,1173,Moderate,Municipal,35,1925.6499999999999,Low Risk,32.6095,RO + UV Purifier,0,1,1
2378,8.6,775,12.4,7064,904,Moderate,Borewell,36,3093.35,Medium Risk,19.73,RO + UV Purifier,0,0,2
2188,8.0,921,5.2,2524,1096,Moderate,Borewell,36,2095.05,Low Risk,30.846000000000004,RO + UV Purifier,0,0,1
2282,7.0,712,8.0,829,676,Moderate,Municipal,29,1905.75,Low Risk,32.2625,RO + UV Purifier,0,1,1
300,6.3,241,2.1,2986,1313,Regular,Tank Water,41,790.3499999999999,Low Risk,40.397000000000006,UF + UV Purifier,2,3,1
1963,6.0,601,3.4,1655,226,Regular,Borewell,22,1636.2,Low Risk,35.18449999999999,RO + UV Purifier,2,0,1
879,8.0,291,6.3,4977,674,Moderate,River,41,1569.0,Low Risk,32.9535,UF + UV Purifier,0,2,1
602,8.6,187,2.3,2685,1000,Rare,Municipal,44,879.9,Low Risk,40.0385,UF + UV Purifier,1,1,1
1851,8.1,394,18.3,7586,284,Moderate,River,33,2972.7,Medium Risk,18.512,RO + UV Purifier,0,2,2
904,7.6,229,0.6,2817,761,Regular,Borewell,32,1001.5999999999999,Low Risk,39.786500000000004,UF + UV Purifier,2,0,1
2246,5.7,761,9.9,4121,365,Moderate,Tank Water,32,2479.6,Low Risk,26.096500000000006,RO + UV Purifier,0,3,1
1995,9.4,552,2.9,4991,1019,Regular,River,44,2110.55,Low Risk,30.5805,RO + UV Purifier,2,2,1
1670,8.7,252,6.5,3011,929,Moderate,Borewell,23,1660.0500000000002,Low Risk,33.5655,RO + UV Purifier,0,0,1
1060,6.7,622,18.6,8342,1308,Rare,Borewell,29,2805.2,Medium Risk,18.659,UF + UV Purifier,1,0,2
1585,9.4,241,3.7,9141,543,Moderate,Borewell,19,2420.1,Low Risk,26.3495,RO + UV Purifier,0,0,1
1128,7.9,54,19.3,8348,271,Rare,River,44,2612.5,Medium Risk,20.298000000000002,UF + UV Purifier,1,2,2
602,7.8,939,4.5,5904,178,Rare,Borewell,37,1789.15,Low Risk,30.881999999999998,UF + UV Purifier,1,0,1
497,8.5,286,15.0,5893,1352,Moderate,Municipal,26,1861.15,Low Risk,27.5255,UF + UV Purifier,0,1,1
970,8.7,742,11.2,1793,786,Rare,Borewell,21,1535.8500000000001,Low Risk,32.7125,UF + UV Purifier,1,0,1
492,8.1,360,17.7,2965,649,Rare,Municipal,22,1560.75,Low Risk,30.016500000000008,UF + UV Purifier,1,1,1
306,6.0,598,11.3,3675,482,Regular,Tank Water,38,1425.35,Low Risk,32.397499999999994,UF + UV Purifier,2,3,1
1138,6.9,105,10.9,8349,1446,Regular,Municipal,43,2304.6,Low Risk,25.1025,UF + UV Purifier,2,1,1
1981,9.2,492,4.3,9925,241,Rare,Tank Water,25,2872.65,Medium Risk,22.621499999999997,RO + UV Purifier,1,3,2
1584,6.4,286,3.7,8944,697,Moderate,Tank Water,39,2410.3,Low Risk,26.468,RO + UV Purifier,0,3,1
963,7.0,919,18.4,8710,623,Rare,Municipal,27,2937.55,Medium Risk,17.33,UF + UV Purifier,1,1,2
663,7.2,910,6.9,3259,160,Moderate,Tank Water,24,1505.85,Low Risk,33.3425,UF + UV Purifier,0,3,1
1120,7.3,246,7.8,5755,1382,Regular,Municipal,39,1845.95,Low Risk,30.3435,UF + UV Purifier,2,1,1
195,8.0,634,15.3,8914,641,Moderate,River,31,2331.8999999999996,Low Risk,22.327999999999996,UV Purifier,0,2,1
2023,9.3,620,7.1,502,285,Rare,Tank Water,22,1649.8,Low Risk,34.438,RO + UV Purifier,1,3,1
1857,6.5,801,19.1,8630,590,Rare,Municipal,33,3347.45,High Risk,14.82,RO + UV Purifier,1,1,0
2378,6.0,563,14.9,1759,92,Rare,Tank Water,32,2302.2,Low Risk,27.0355,RO + UV Purifier,1,3,1
1778,6.3,498,12.1,8690,1364,Rare,Borewell,22,2900.6,Medium Risk,20.379,RO + UV Purifier,1,0,2
640,9.0,409,17.7,4823,436,Rare,Municipal,20,1935.5,Low Risk,26.589499999999997,UF + UV Purifier,1,1,1
1159,8.1,749,1.5,6273,831,Moderate,Borewell,40,1917.5,Low Risk,31.2175,UF + UV Purifier,0,0,1
1283,6.6,868,5.5,3068,1158,Rare,Tank Water,27,1712.3,Low Risk,32.777,RO + UV Purifier,1,3,1
1822,8.8,79,9.6,2385,44,Regular,Tank Water,22,1688.3,Low Risk,32.8805,RO + UV Purifier,2,3,1
1919,8.9,828,4.9,7560,288,Rare,River,40,2662.1,Medium Risk,24.651000000000007,RO + UV Purifier,1,2,2
1697,8.9,157,15.0,8344,752,Moderate,Municipal,32,2770.75,Medium Risk,20.765,RO + UV Purifier,0,1,2
895,9.2,893,18.4,6611,1465,Rare,Borewell,35,2577.0,Medium Risk,20.786499999999997,UF + UV Purifier,1,0,2
1151,6.5,984,8.8,9991,1312,Rare,River,42,2868.95,Medium Risk,20.344499999999996,UF + UV Purifier,1,2,2
1743,8.5,651,7.2,2838,643,Moderate,Tank Water,25,1878.15,Low Risk,31.590000000000003,RO + UV Purifier,0,3,1
1463,7.3,766,19.3,9768,1313,Rare,Tank Water,38,3313.4,High Risk,14.314999999999998,RO + UV Purifier,1,3,0
2081,8.9,940,9.2,4258,1098,Moderate,River,19,2470.2,Low Risk,26.090000000000003,RO + UV Purifier,0,2,1
1454,8.4,494,10.0,5310,842,Rare,Borewell,39,2145.8,Low Risk,27.697,RO + UV Purifier,1,0,1
1763,8.6,942,7.4,9639,360,Regular,Tank Water,25,3047.25,Medium Risk,20.0445,RO + UV Purifier,2,3,2
1629,8.1,487,18.2,7291,194,Rare,Tank Water,40,2855.3,Medium Risk,19.308499999999995,RO + UV Purifier,1,3,2
2138,6.2,781,11.6,7671,1246,Moderate,Municipal,25,3035.1,Medium Risk,19.995499999999993,RO + UV Purifier,0,1,2
1596,7.7,939,15.4,3231,1454,Regular,River,21,2321.2,Low Risk,25.369500000000002,RO + UV Purifier,2,2,1
2337,9.4,655,16.3,1369,1427,Moderate,Tank Water,36,2320.6,Low Risk,26.5355,RO + UV Purifier,0,3,1
1508,9.2,506,7.2,5666,1118,Rare,Borewell,40,2119.6,Low Risk,28.632999999999996,RO + UV Purifier,1,0,1
1500,5.7,664,9.0,593,416,Regular,Municipal,35,1497.75,Low Risk,34.554500000000004,RO + UV Purifier,2,1,1
1406,6.2,784,17.0,3487,1468,Moderate,River,38,2258.85,Low Risk,25.215499999999995,RO + UV Purifier,0,2,1
1072,6.0,747,7.6,9127,1083,Regular,Borewell,40,2545.2,Medium Risk,23.545499999999997,UF + UV Purifier,2,0,2
1868,8.4,745,16.0,5447,1319,Regular,Tank Water,18,2726.3,Medium Risk,21.645500000000002,RO + UV Purifier,2,3,2
1382,8.8,544,18.8,7151,357,Moderate,River,37,2760.45,Medium Risk,19.671499999999995,RO + UV Purifier,0,2,2
809,6.4,723,12.7,7479,1270,Regular,River,32,2359.7,Low Risk,23.8425,UF + UV Purifier,2,2,1
1579,7.5,296,15.0,7294,349,Moderate,Borewell,35,2616.8,Medium Risk,22.137999999999998,RO + UV Purifier,0,0,2
1534,8.9,592,16.2,7024,428,Regular,River,39,2735.0,Medium Risk,20.773999999999994,RO + UV Purifier,2,2,2
748,8.4,613,17.0,3644,134,Regular,Borewell,29,1876.4499999999998,Low Risk,27.637999999999998,UF + UV Purifier,2,0,1
417,7.7,906,8.2,4087,725,Regular,Tank Water,18,1557.25,Low Risk,32.0745,UF + UV Purifier,2,3,1
1357,7.9,637,1.5,576,1046,Rare,Municipal,24,1111.5500000000002,Low Risk,39.617000000000004,RO + UV Purifier,1,1,1
783,7.5,946,8.3,9507,359,Rare,Borewell,36,2575.25,Medium Risk,22.6265,UF + UV Purifier,1,0,2
763,6.7,488,13.6,9459,689,Moderate,Municipal,18,2563.95,Medium Risk,21.410500000000006,UF + UV Purifier,0,1,2
2098,7.8,327,9.3,7053,1100,Regular,River,41,2626.1000000000004,Medium Risk,24.238500000000005,RO + UV Purifier,2,2,2
1731,8.3,601,15.1,8797,628,Moderate,Borewell,24,3059.5,Medium Risk,18.147500000000008,RO + UV Purifier,0,0,2
1595,9.0,662,7.5,7194,850,Rare,Tank Water,19,2474.5,Low Risk,25.276,RO + UV Purifier,1,3,1
1236,8.0,160,12.9,3373,670,Rare,Borewell,24,1711.95,Low Risk,30.8525,RO + UV Purifier,1,0,1
1953,8.5,434,4.1,3846,343,Rare,Borewell,36,1912.6999999999998,Low Risk,32.176,RO + UV Purifier,1,0,1
1620,6.1,882,15.1,7524,1200,Rare,Borewell,30,2939.5,Medium Risk,19.266000000000005,RO + UV Purifier,1,0,2
663,7.3,810,11.1,3648,491,Moderate,Municipal,42,1687.1999999999998,Low Risk,30.639000000000003,UF + UV Purifier,0,1,1
1391,5.5,240,4.5,744,515,Regular,Municipal,41,1095.1,Low Risk,39.050999999999995,RO + UV Purifier,2,1,1
1736,6.5,539,6.2,3125,439,Moderate,River,22,1827.3,Low Risk,32.228500000000004,RO + UV Purifier,0,2,1
798,8.4,743,15.1,4349,56,Regular,River,40,1989.6999999999998,Low Risk,27.0505,UF + UV Purifier,2,2,1
2260,9.5,475,9.9,9673,1082,Rare,River,36,3190.7,Medium Risk,18.8705,RO + UV Purifier,1,2,2
101,5.9,454,4.7,8237,300,Regular,River,18,1678.35,Low Risk,30.7055,UV Purifier,2,2,1
741,7.1,384,19.4,8833,715,Rare,Borewell,18,2644.25,Medium Risk,19.3515,UF + UV Purifier,1,0,2
2367,8.7,258,14.4,1392,530,Moderate,Municipal,44,2084.4,Low Risk,29.139000000000003,RO + UV Purifier,0,1,1
1689,6.3,71,19.2,5987,1306,Regular,Municipal,35,2542.5,Medium Risk,22.1485,RO + UV Purifier,2,1,2
954,7.7,727,8.8,7751,414,Moderate,Municipal,41,2318.8,Low Risk,25.323499999999996,UF + UV Purifier,0,1,1
1859,8.4,660,9.8,7810,89,Rare,Municipal,18,2790.0,Medium Risk,22.188,RO + UV Purifier,1,1,2
1761,8.0,257,18.0,2899,1160,Moderate,River,44,2151.0,Low Risk,26.5405,RO + UV Purifier,0,2,1
1253,6.3,57,10.7,5140,249,Rare,Borewell,22,1851.15,Low Risk,29.882999999999996,RO + UV Purifier,1,0,1
1176,6.9,751,14.3,3460,1494,Rare,Municipal,26,2016.95,Low Risk,27.698000000000004,UF + UV Purifier,1,1,1
1807,8.6,736,5.4,7825,800,Rare,Tank Water,29,2624.45,Medium Risk,24.657499999999995,RO + UV Purifier,1,3,2
1795,7.7,834,9.2,1969,593,Moderate,Borewell,26,1936.1499999999999,Low Risk,30.805500000000002,RO + UV Purifier,0,0,1
1833,5.5,578,2.9,3874,575,Moderate,Tank Water,35,1873.6999999999998,Low Risk,32.638,RO + UV Purifier,0,3,1
1539,8.5,651,4.5,9347,125,Regular,Borewell,40,2644.5,Medium Risk,24.058500000000002,RO + UV Purifier,2,0,2
2394,5.6,702,0.5,8734,1018,Regular,Borewell,28,2843.0,Medium Risk,24.609,RO + UV Purifier,2,0,2
935,8.5,706,1.3,8423,1142,Moderate,Borewell,18,2100.65,Low Risk,28.9565,UF + UV Purifier,0,0,1
302,6.3,215,19.6,5622,857,Moderate,Tank Water,36,1875.05,Low Risk,26.041000000000004,UF + UV Purifier,0,3,1
222,9.3,898,5.2,5887,260,Moderate,Municipal,39,1606.15,Low Risk,31.791500000000006,UV Purifier,0,1,1
500,7.0,545,13.4,8131,997,Moderate,Municipal,42,2250.8999999999996,Low Risk,24.0835,UF + UV Purifier,0,1,1
866,6.8,639,16.9,7726,304,Rare,Tank Water,27,2555.45,Medium Risk,21.117000000000004,UF + UV Purifier,1,3,2
393,6.1,478,11.2,5608,275,Rare,Municipal,19,1700.8,Low Risk,29.777,UF + UV Purifier,1,1,1
2427,6.7,823,3.5,2724,140,Rare,River,24,2132.45,Low Risk,31.241,RO + UV Purifier,1,2,1
297,9.0,212,14.7,2610,263,Moderate,Municipal,37,1223.4,Low Risk,33.526,UV Purifier,0,1,1
2030,9.5,415,12.2,1457,1331,Rare,River,19,1908.3,Low Risk,30.7445,RO + UV Purifier,1,2,1
2291,7.0,575,14.8,7646,446,Rare,River,36,3143.1499999999996,Medium Risk,18.478,RO + UV Purifier,1,2,2
708,7.3,288,15.5,1060,707,Regular,River,23,1262.6,Low Risk,33.833999999999996,UF + UV Purifier,2,2,1
1247,8.4,121,19.5,7913,1181,Regular,Tank Water,27,2644.9,Medium Risk,20.2055,RO + UV Purifier,2,3,2
286,9.0,494,11.7,1812,1290,Rare,Municipal,26,1105.1,Low Risk,35.428,UV Purifier,1,1,1
1894,7.9,704,7.2,2321,832,Rare,Municipal,25,1899.9499999999998,Low Risk,31.700499999999995,RO + UV Purifier,1,1,1
759,7.1,871,13.1,6146,648,Rare,Tank Water,43,2217.35,Low Risk,25.159999999999997,UF + UV Purifier,1,3,1
2055,7.2,558,1.8,5445,1181,Moderate,Tank Water,28,2167.35,Low Risk,30.355500000000003,RO + UV Purifier,0,3,1
1469,8.3,844,18.0,5874,736,Regular,Municipal,26,2715.4,Medium Risk,20.60600000000001,RO + UV Purifier,2,1,2
2086,5.5,318,2.8,3151,880,Regular,Tank Water,37,1770.75,Low Risk,34.0635,RO + UV Purifier,2,3,1
1634,8.0,802,6.9,5201,1447,Regular,Tank Water,37,2234.05,Low Risk,27.9485,RO + UV Purifier,2,3,1
246,6.9,464,16.4,3377,504,Rare,River,26,1494.35,Low Risk,30.500500000000002,UV Purifier,1,2,1
1834,8.7,294,12.1,6082,684,Moderate,Tank Water,25,2445.6,Low Risk,24.939,RO + UV Purifier,0,3,1
1943,5.9,724,8.2,5890,424,Regular,River,32,2508.8,Medium Risk,25.519999999999996,RO + UV Purifier,2,2,2
588,7.9,109,9.7,4583,140,Regular,Borewell,19,1418.5,Low Risk,33.1055,UF + UV Purifier,2,0,1
2059,7.4,55,17.2,1245,119,Moderate,River,41,1929.0,Low Risk,29.4155,RO + UV Purifier,0,2,1
1763,8.1,758,7.1,9249,792,Rare,River,18,2893.95,Medium Risk,21.545500000000004,RO + UV Purifier,1,2,2
2485,5.8,619,17.5,1441,1333,Rare,Tank Water,26,2437.2000000000003,Low Risk,25.407500000000002,RO + UV Purifier,1,3,1
740,7.8,866,2.2,4523,1386,Regular,Municipal,26,1526.15,Low Risk,34.2115,UF + UV Purifier,2,1,1
1902,7.7,456,15.6,2796,1277,Regular,Borewell,30,2199.6,Low Risk,26.916,RO + UV Purifier,2,0,1
2069,7.7,266,17.0,1439,1154,Moderate,Borewell,25,2050.05,Low Risk,28.3705,RO + UV Purifier,0,0,1
2298,7.9,979,4.0,2110,161,Regular,Borewell,44,2066.05,Low Risk,31.625000000000007,RO + UV Purifier,2,0,1
1538,8.2,75,8.9,6800,1066,Moderate,Municipal,38,2178.75,Low Risk,27.546000000000006,RO + UV Purifier,0,1,1
1734,8.7,864,3.7,2225,486,Regular,Borewell,22,1737.55,Low Risk,33.7845,RO + UV Purifier,2,0,1
362,6.6,54,14.3,9676,1494,Regular,Borewell,20,2228.7,Low Risk,23.604,UF + UV Purifier,2,0,1
1887,8.8,581,10.9,9353,127,Regular,Municipal,38,3043.9,Medium Risk,19.445500000000003,RO + UV Purifier,2,1,2
2291,7.5,439,12.9,7687,1173,Rare,Borewell,21,3012.1,Medium Risk,20.1005,RO + UV Purifier,1,0,2
2493,5.8,759,4.3,532,322,Moderate,Tank Water,34,1839.85,Low Risk,34.107,RO + UV Purifier,0,3,1
723,5.7,620,4.6,6485,1054,Moderate,Tank Water,33,1797.25,Low Risk,30.86350000000001,UF + UV Purifier,0,3,1
1116,6.8,497,1.3,3914,601,Rare,River,33,1420.75,Low Risk,36.013,UF + UV Purifier,1,2,1
980,8.6,803,6.8,1656,279,Rare,River,42,1371.75,Low Risk,35.284,UF + UV Purifier,1,2,1
2149,8.3,195,11.4,3626,681,Rare,River,43,2162.15,Low Risk,28.493999999999993,RO + UV Purifier,1,2,1
